Tokens for Kommisar - Springtime
Timestamp: 20260126201528
Shape: torch.Size([9679, 32])
----------------------------------------
Frame | Codebooks (0-31)
2412  | 381  1022 599  849  945  743  345  345  280  916  28   544  727  943  264  966  451  184  322  480  456  809  1008 885  506  584  826  731  523  689  911  982 
2413  | 29   231  192  1020 861  475  234  954  931  971  936  529  538  900  685  622  985  112  934  350  479  953  379  562  392  878  807  917  871  604  832  236 
2414  | 873  103  195  942  394  872  211  181  657  120  480  783  381  664  270  681  962  174  598  946  232  432  976  386  587  924  274  474  651  748  489  707 
2415  | 674  975  38   198  34   462  443  204  297  444  592  1016 513  161  955  414  433  242  926  858  855  594  698  285  627  552  826  330  845  222  655  940 
2416  | 831  450  143  679  339  637  468  665  0    637  522  776  738  188  443  815  720  237  578  789  1000 606  971  804  692  964  946  227  947  646  703  706 
2417  | 4    1009 443  658  236  682  818  714  608  566  565  358  294  446  1015 634  956  912  309  750  209  283  392  588  429  297  423  927  815  411  571  871 
2418  | 443  705  561  236  861  381  350  620  933  420  494  632  745  572  901  881  687  257  943  760  568  552  392  1021 518  793  291  863  865  916  696  620 
2419  | 299  224  340  413  939  224  719  438  650  543  241  989  438  966  856  891  165  537  161  295  450  680  992  847  974  552  890  438  704  902  942  900 
2420  | 299  807  340  228  921  537  668  624  780  787  813  462  912  121  694  476  720  681  164  652  672  816  394  392  1009 511  967  401  1008 997  979  685 
2421  | 381  387  283  210  80   381  90   959  111  494  348  834  119  887  677  573  265  289  853  199  742  1014 245  997  620  753  982  934  442  619  882  628 
2422  | 589  172  81   648  942  615  940  577  502  692  323  232  519  318  620  916  328  897  271  407  786  878  995  783  535  637  611  928  441  724  579  896 
2423  | 589  815  913  195  570  817  336  644  896  190  553  814  497  707  932  464  534  359  1007 517  795  809  745  373  635  755  321  674  496  548  917  631 
2424  | 664  385  81   732  257  51   695  27   66   911  192  299  964  667  571  376  584  104  498  874  502  711  898  960  518  468  405  380  904  1016 788  622 
2425  | 507  979  264  881  1023 706  32   913  634  514  862  765  488  619  340  815  512  370  361  861  756  616  519  967  869  712  309  636  263  775  533  846 
2426  | 60   567  548  609  805  184  268  906  489  832  1004 444  883  318  296  658  308  418  652  857  981  954  390  714  319  890  666  946  443  435  897  467 
2427  | 621  207  469  547  365  355  737  833  1006 911  331  891  1022 447  436  698  465  651  610  745  438  820  696  697  718  875  986  953  772  537  1010 997 
2428  | 845  65   566  828  129  165  176  145  616  374  994  815  441  928  592  800  981  72   276  892  726  972  913  785  533  964  822  227  898  578  296  491 
2429  | 332  67   754  360  104  15   11   793  599  632  800  512  257  523  469  794  774  301  939  518  997  870  525  732  512  1018 564  438  473  1008 1001 766 
2430  | 60   569  546  939  873  999  216  861  966  336  496  879  611  939  857  264  226  109  399  878  483  932  404  264  951  976  584  982  270  984  909  566 
2431  | 621  319  1002 295  667  682  224  912  152  405  1018 964  502  413  963  724  326  711  758  632  851  687  856  358  880  1018 332  911  600  669  956  798 
2432  | 384  828  557  784  63   506  286  651  940  532  486  397  651  394  506  881  877  744  916  207  197  575  980  933  663  927  879  665  313  562  276  686 
2433  | 90   276  445  157  709  271  693  403  327  911  984  338  832  294  532  402  232  103  526  659  586  302  983  840  526  757  478  626  784  762  718  697 
2434  | 271  261  388  162  63   566  328  721  990  554  179  407  672  641  682  744  109  305  1003 745  358  165  542  986  217  946  851  684  988  401  914  705 
2435  | 46   172  517  360  545  984  918  117  972  616  455  1007 772  362  390  810  282  55   746  645  155  1004 558  702  505  820  634  898  817  382  786  843 
2436  | 342  246  368  831  513  964  91   252  480  763  237  815  430  212  236  873  486  683  274  912  878  775  965  627  891  646  772  286  557  899  879  460 
2437  | 299  393  548  274  608  626  560  473  626  419  616  336  741  724  207  637  803  497  972  755  891  731  394  540  848  552  361  404  757  967  683  631 
2438  | 818  152  665  992  667  627  784  755  108  182  766  504  206  672  663  900  971  767  751  666  916  473  731  157  564  956  1012 479  906  591  574  556 
2439  | 614  216  778  994  99   508  450  149  583  463  490  556  267  624  162  819  303  847  452  902  465  653  559  272  711  643  708  600  521  757  684  817 
2440  | 166  832  996  525  554  983  349  689  937  598  447  783  1003 278  262  770  512  430  310  171  564  312  860  909  381  890  550  859  936  297  768  782 
2441  | 144  978  897  141  236  690  77   394  899  939  880  753  932  523  754  547  798  330  974  76   853  667  398  553  542  495  715  871  757  471  694  557 
2442  | 919  177  22   373  18   373  249  742  928  451  235  937  391  983  480  257  344  295  581  0    665  671  632  316  1019 736  706  831  717  668  722  928 
2443  | 355  409  340  148  845  730  194  326  536  442  595  750  1014 272  881  934  538  277  852  477  132  443  213  927  881  612  274  488  963  502  900  487 
2444  | 46   468  340  289  549  532  839  644  616  922  595  775  781  792  364  1018 665  259  593  989  313  835  190  956  812  770  631  531  911  458  714  906 
2445  | 342  99   767  292  687  832  394  837  317  561  300  434  633  863  480  627  929  782  1020 340  398  895  133  434  913  792  245  800  1018 280  743  934 
2446  | 97   411  213  661  875  216  193  815  873  291  210  1016 266  169  407  1001 509  973  899  865  968  720  265  562  507  619  936  256  485  828  232  681 
2447  | 851  407  355  415  78   397  504  285  606  807  855  1004 941  987  447  983  402  557  852  196  619  123  872  957  843  939  686  579  644  542  452  971 
2448  | 558  159  430  661  961  130  661  578  687  692  798  238  703  621  1009 464  815  530  98   682  1009 304  773  884  848  859  587  249  395  874  270  282 
2449  | 644  235  837  467  298  253  295  150  488  741  63   482  832  931  603  675  859  284  722  669  544  403  869  666  881  929  826  782  755  248  772  817 
2450  | 381  1017 906  788  174  207  258  338  972  182  210  178  481  451  362  978  166  318  651  644  859  993  764  619  825  729  480  949  631  914  788  884 
2451  | 332  278  523  101  421  784  521  747  59   182  516  677  510  646  725  923  544  586  434  960  516  698  797  320  789  237  597  885  580  182  679  566 
2452  | 558  456  38   259  511  896  649  882  800  380  250  122  679  664  658  1007 363  421  758  73   456  797  294  481  901  998  296  986  817  857  935  700 
2453  | 589  271  837  758  809  991  147  978  172  870  951  482  846  424  474  599  496  711  605  871  839  625  860  294  715  728  710  859  550  873  410  649 
2454  | 718  167  617  259  727  259  635  855  289  977  221  778  284  565  392  668  912  379  293  980  334  122  667  558  292  672  855  950  919  602  590  413 
2455  | 332  848  644  609  961  645  436  914  361  909  481  932  479  695  988  795  329  153  852  844  640  772  764  645  678  511  877  690  706  249  575  1004
2456  | 558  533  810  930  655  498  583  1004 451  720  308  284  633  454  579  996  673  801  723  553  717  317  697  260  999  491  286  271  832  382  625  607 
2457  | 493  246  486  701  456  411  39   648  868  937  411  527  131  455  573  603  576  223  862  818  590  429  394  863  573  620  932  1005 630  896  570  951 
2458  | 384  777  762  416  365  534  381  795  1015 739  296  917  652  578  331  917  688  391  729  992  316  1023 798  656  587  227  955  296  933  967  638  398 
2459  | 702  586  38   795  897  724  146  867  735  131  723  498  594  764  504  1003 641  833  179  969  800  864  642  187  457  419  623  952  738  647  895  856 
2460  | 809  916  466  1012 899  882  519  807  658  576  567  465  255  435  728  684  251  87   936  254  450  481  155  651  960  285  968  430  972  671  570  421 
2461  | 250  908  566  12   10   819  236  0    954  839  502  877  680  338  826  838  54   354  306  134  483  302  998  1009 409  842  915  479  483  650  420  294 
2462  | 4    680  119  581  668  273  13   626  240  375  409  798  403  680  1009 992  486  401  746  582  966  823  392  973  698  941  801  640  275  297  302  681 
2463  | 490  891  12   864  444  325  878  219  487  662  808  786  548  672  382  536  789  187  440  1000 196  690  773  783  652  529  662  754  659  319  232  763 
2464  | 77   98   328  911  590  164  541  889  740  726  120  841  555  239  759  854  177  261  173  485  891  941  660  1004 638  604  279  193  968  542  998  487 
2465  | 468  246  299  1009 0    679  942  283  871  930  520  488  859  396  766  405  781  252  407  615  422  511  674  320  887  961  327  805  980  537  655  946 
2466  | 908  735  217  659  378  875  869  723  268  574  960  657  713  325  872  859  218  680  713  1001 63   462  1008 798  807  309  922  546  465  852  775  327 
2467  | 236  777  257  141  636  271  475  323  244  951  456  901  716  311  210  568  907  228  891  829  776  718  156  481  323  980  867  568  703  776  971  877 
2468  | 277  42   255  955  184  658  557  816  1005 245  533  490  1001 998  525  635  507  489  795  831  466  611  724  354  365  924  456  404  869  632  478  1004
2469  | 277  151  700  456  569  743  509  272  382  704  239  955  641  813  1006 482  507  508  404  552  870  591  826  895  718  571  289  390  600  459  1006 966 
2470  | 32   236  270  518  1022 535  520  192  270  890  369  232  735  116  147  242  925  805  576  530  856  312  745  349  888  938  994  682  861  847  912  755 
2471  | 692  244  170  86   145  1017 483  629  916  808  479  935  905  448  252  422  53   409  644  814  466  914  643  686  803  890  705  956  298  646  963  906 
2472  | 644  694  89   829  392  1002 593  705  27   109  467  460  860  116  521  464  466  582  608  881  876  511  460  913  549  422  739  437  581  450  947  481 
2473  | 718  210  476  234  667  301  52   497  415  628  452  682  693  396  699  781  339  36   673  711  164  649  724  798  552  474  740  871  757  450  1002 955 
2474  | 282  533  547  353  715  250  784  145  85   692  661  978  694  548  833  782  774  569  490  990  187  834  992  633  569  779  989  1015 741  755  654  691 
2475  | 558  207  429  791  556  33   435  1006 752  873  517  232  113  543  962  399  653  28   442  910  954  354  488  914  639  918  859  541  548  220  572  692 
2476  | 644  168  798  1021 838  765  153  11   219  1017 749  247  549  243  975  958  870  1016 636  301  860  567  978  930  833  611  642  412  768  694  541  894 
2477  | 384  774  283  62   460  20   858  137  291  297  247  830  942  897  545  564  439  559  62   951  409  569  1001 181  862  494  479  912  855  550  416  579 
2478  | 664  276  723  983  726  865  858  624  451  975  611  721  514  121  372  843  884  352  904  864  608  891  160  658  569  911  637  603  980  752  514  263 
2479  | 558  543  268  728  109  887  484  170  738  672  760  893  519  768  392  622  336  459  626  835  460  665  902  728  913  891  988  775  552  962  978  467 
2480  | 589  683  894  560  610  265  153  889  572  909  396  968  152  463  881  842  789  742  632  593  828  1000 443  319  941  949  885  531  686  933  666  755 
2481  | 384  723  848  659  910  830  74   574  795  976  642  878  358  702  508  925  61   16   684  880  743  893  932  934  900  583  993  990  724  694  617  496 
2482  | 664  649  484  169  3    539  817  2    167  641  452  562  326  695  756  878  592  409  183  814  304  892  462  255  684  634  981  518  849  471  709  543 
2483  | 156  494  726  513  517  127  219  612  393  410  227  853  395  601  648  490  116  57   576  980  535  783  171  537  444  1000 625  876  1023 960  461  755 
2484  | 845  620  572  788  747  271  672  669  981  35   322  789  732  901  535  766  606  862  837  857  709  812  996  512  836  778  524  390  863  791  779  633 
2485  | 483  280  499  167  857  535  187  633  355  634  164  305  444  497  866  349  9    55   330  507  226  594  867  314  663  494  531  682  321  501  674  503 
2486  | 1007 280  828  958  236  896  107  192  914  383  762  195  244  688  866  967  526  667  739  250  633  437  696  181  466  609  732  880  874  696  628  601 
2487  | 1007 280  950  207  891  403  674  478  856  535  385  282  341  604  472  557  618  233  907  784  649  709  531  481  692  684  854  863  322  537  750  692 
2488  | 653  326  129  495  49   343  285  570  482  860  713  778  467  636  325  879  232  97   942  429  732  286  946  728  273  818  974  839  845  736  839  642 
2489  | 32   785  906  624  193  868  241  634  134  992  799  545  744  294  785  1009 964  277  897  731  602  471  423  878  359  893  940  260  530  924  914  804 
2490  | 490  227  812  690  123  100  593  338  730  371  601  802  395  695  537  867  567  910  421  769  305  861  418  890  896  705  655  287  988  879  940  819 
2491  | 859  263  869  97   695  386  750  497  433  257  442  1016 890  761  817  569  795  798  382  729  688  825  991  484  883  681  247  789  313  295  740  869 
2492  | 29   703  648  86   585  639  319  837  81   453  354  710  927  986  779  370  848  590  500  956  937  837  373  324  764  746  457  890  442  382  311  858 
2493  | 614  986  478  992  988  600  779  522  179  570  813  142  869  155  684  824  798  430  412  861  726  541  791  187  815  293  526  892  539  602  786  552 
2494  | 232  99   996  274  543  529  587  714  669  269  628  681  682  509  121  662  806  387  87   636  520  185  675  912  870  868  591  872  230  470  873  660 
2495  | 343  860  423  177  504  94   471  197  201  550  973  869  326  856  829  423  912  497  558  478  680  489  658  449  911  572  919  968  911  814  834  919 
2496  | 684  389  960  89   136  271  189  727  804  738  995  171  802  293  619  441  776  324  619  353  834  681  819  419  208  426  422  906  706  537  956  740 
2497  | 217  816  567  232  480  1022 269  869  818  147  533  383  528  405  384  255  654  363  876  180  889  741  613  260  890  873  909  969  763  638  546  986 
2498  | 762  567  976  387  818  267  374  27   179  387  811  523  548  947  553  264  752  39   936  835  989  845  594  502  918  1006 249  947  981  647  402  947 
2499  | 644  440  822  755  19   639  484  974  322  257  470  996  476  432  967  622  962  182  404  468  850  649  502  586  390  640  903  934  311  266  787  790 
2500  | 507  276  529  953  798  79   121  153  805  767  1010 538  882  720  608  892  912  696  760  605  586  622  518  821  775  726  509  308  457  280  1022 771 
2501  | 498  123  657  976  578  200  513  345  660  694  539  912  890  689  489  929  208  164  750  770  231  857  860  1020 996  561  612  287  300  888  646  837 
2502  | 474  691  681  330  169  69   15   729  231  964  309  234  693  939  466  445  209  147  766  338  968  974  466  967  507  593  671  256  321  666  718  510 
2503  | 663  68   33   304  670  646  555  773  517  930  360  499  735  928  749  955  763  486  746  361  996  780  629  326  854  626  495  864  1005 647  899  969 
2504  | 214  507  288  284  895  186  963  255  677  899  354  560  40   713  846  663  761  55   1014 202  854  566  962  690  809  925  659  829  750  688  308  708 
2505  | 2    777  558  5    183  887  298  225  714  685  65   776  822  246  304  441  245  439  930  695  196  789  773  852  862  886  657  729  572  253  635  491 
2506  | 149  821  441  274  668  271  136  670  259  706  255  510  455  353  366  842  862  842  976  689  562  517  316  590  711  314  1005 625  804  656  738  494 
2507  | 273  494  305  499  829  805  418  85   795  178  658  617  890  743  869  939  732  1010 532  800  647  661  550  876  232  753  289  1016 730  467  552  691 
2508  | 165  793  422  476  449  189  630  753  369  572  1004 122  508  796  337  545  953  289  517  781  647  781  378  712  671  923  859  498  967  303  168  824 
2509  | 398  999  877  327  670  130  818  624  231  245  281  580  514  488  798  524  549  695  899  985  814  299  950  674  1001 678  664  688  999  591  957  324 
2510  | 621  480  65   199  272  739  483  420  630  830  920  850  381  619  600  463  822  556  1016 644  1006 242  991  228  789  817  928  284  705  607  237  938 
2511  | 258  916  340  297  396  431  52   1011 991  631  871  520  685  436  600  606  727  585  772  219  955  603  700  841  576  466  799  598  849  1003 743  458 
2512  | 442  594  340  250  774  689  694  366  781  712  148  979  257  386  747  934  692  31   919  282  791  284  992  627  689  625  683  528  654  838  792  708 
2513  | 621  184  445  959  101  269  434  798  826  103  367  1016 510  644  867  511  374  349  122  538  544  936  882  471  1019 675  932  380  815  485  312  953 
2514  | 277  70   463  751  938  559  225  577  633  1010 218  243  241  914  691  581  564  182  328  493  747  718  782  967  587  578  664  872  296  981  850  728 
2515  | 831  115  158  881  236  991  726  612  723  0    248  530  317  927  265  871  174  311  110  729  499  273  974  671  490  612  259  634  982  1022 292  552 
2516  | 498  263  0    959  129  495  368  574  956  431  869  258  872  594  413  570  785  169  694  721  508  106  1008 818  329  791  520  226  470  795  569  700 
2517  | 509  70   634  751  515  437  258  486  763  879  154  786  331  394  735  941  630  477  609  697  705  920  999  610  926  314  821  549  279  737  877  938 
2518  | 329  629  340  200  635  332  366  932  300  828  326  456  811  531  534  972  752  1010 809  76   953  633  390  680  650  725  788  850  514  997  933  739 
2519  | 525  468  340  10   838  567  661  602  49   590  716  900  823  835  532  249  456  229  276  659  275  838  881  569  993  765  996  1020 587  193  709  503 
2520  | 468  249  604  646  157  429  77   793  304  819  759  775  725  889  774  692  724  475  494  617  933  543  390  839  588  851  870  321  1007 638  482  921 
2521  | 42   32   145  314  552  114  791  502  654  595  994  830  853  342  846  404  701  861  772  326  355  875  284  884  848  889  513  943  451  427  547  544 
2522  | 569  507  604  753  215  0    236  460  926  888  833  707  535  554  451  917  261  311  1009 990  787  441  349  861  848  808  898  625  755  257  276  485 
2523  | 41   487  278  358  78   207  293  386  243  566  558  412  856  532  804  478  965  189  873  908  888  417  274  934  654  834  606  730  897  967  579  1016
2524  | 558  783  610  66   63   84   583  150  473  463  397  859  264  482  833  886  706  563  891  912  584  734  878  701  848  758  249  775  971  887  893  557 
2525  | 462  487  994  415  809  207  120  150  702  644  970  647  603  592  474  821  490  259  76   626  924  836  567  935  516  580  541  705  520  916  997  566 
2526  | 558  975  610  491  18   84   817  780  257  813  670  891  869  523  902  360  212  590  960  638  360  966  570  984  805  760  916  889  946  905  914  898 
2527  | 845  675  200  64   54   621  376  728  894  704  468  1014 872  1008 313  890  543  197  512  463  492  880  648  157  408  755  319  737  720  270  544  325 
2528  | 258  464  374  27   1020 481  606  450  977  923  699  619  737  810  454  548  339  911  882  1002 680  956  908  437  722  510  971  628  197  570  694  677 
2529  | 678  852  881  833  637  499  403  469  211  633  416  915  456  953  676  938  834  379  746  733  601  851  678  850  713  326  296  911  984  904  824  737 
2530  | 60   9    352  414  715  499  147  967  872  570  447  305  525  1010 734  153  381  188  321  854  859  302  744  677  599  991  644  249  806  791  749  292 
2531  | 678  574  1023 954  354  927  995  179  259  171  756  773  939  381  861  851  806  175  228  976  532  702  622  733  983  789  901  640  855  669  418  483 
2532  | 60   584  422  615  676  662  1000 286  104  923  744  269  598  319  587  867  509  343  1004 960  309  534  1013 981  536  240  652  575  809  472  569  994 
2533  | 474  832  566  879  552  232  13   820  574  914  1005 924  708  649  829  920  642  407  228  733  297  876  657  876  916  868  888  479  986  776  947  845 
2534  | 250  32   523  123  110  271  987  427  773  306  910  303  928  955  734  189  487  394  280  707  871  944  861  440  865  908  579  665  911  638  551  922 
2535  | 109  783  337  347  432  653  544  723  637  903  491  773  474  636  861  817  958  521  923  857  987  234  952  448  275  212  852  541  538  944  919  852 
2536  | 364  464  271  187  421  743  753  656  738  493  309  176  841  859  603  765  440  985  252  180  913  698  657  548  848  678  982  463  1007 478  851  631 
2537  | 4    979  959  788  226  724  847  744  383  853  725  232  893  524  524  287  785  606  907  1021 865  1009 878  935  712  529  653  489  260  951  807  987 
2538  | 824  759  681  902  402  635  840  560  545  814  634  283  776  906  516  668  780  18   43   857  272  506  480  903  429  643  270  842  291  467  711  681 
2539  | 211  207  64   386  951  267  725  763  680  450  558  715  643  554  569  698  727  354  199  720  1022 574  255  937  527  673  494  1018 672  294  1005 937 
2540  | 0    10   610  560  236  277  18   540  513  1011 847  572  784  964  933  535  226  670  313  918  494  106  866  576  452  713  839  630  613  882  810  620 
2541  | 490  1009 617  531  19   697  349  226  711  889  981  807  464  824  515  809  301  445  62   702  646  594  902  809  524  450  562  954  648  605  686  744 
2542  | 97   40   103  646  501  898  233  70   688  964  833  953  457  613  600  945  848  307  243  435  281  458  725  675  195  650  606  1010 907  847  578  684 
2543  | 513  261  314  318  687  4    66   812  881  898  336  314  722  336  853  885  843  441  674  1020 867  531  587  255  683  285  732  416  295  969  570  681 
2544  | 809  669  340  306  262  280  96   234  940  807  480  736  271  210  610  377  613  430  668  751  483  622  784  710  333  812  564  943  730  269  1022 685 
2545  | 156  138  960  301  236  977  140  851  888  362  266  980  616  845  704  223  832  210  565  229  718  752  751  690  637  828  488  260  947  953  270  263 
2546  | 156  0    408  584  687  120  460  959  906  491  599  986  888  845  323  494  184  790  597  937  816  995  503  620  667  250  893  857  320  306  923  695 
2547  | 678  856  640  189  134  543  376  430  543  998  553  351  157  423  323  331  850  425  328  522  343  446  867  457  442  865  852  934  470  500  879  764 
2548  | 60   1020 969  547  874  635  632  833  297  581  99   305  440  713  367  308  39   64   504  159  388  751  1010 656  591  612  1012 420  639  591  605  670 
2549  | 0    624  998  55   625  100  188  545  128  206  828  277  963  324  1004 431  558  628  444  853  997  616  442  569  617  516  765  822  556  171  799  295 
2550  | 60   372  48   547  664  115  897  637  187  393  256  844  265  664  1002 774  817  4    399  817  608  314  581  704  660  544  656  566  1003 884  545  579 
2551  | 332  372  382  29   496  115  307  632  896  681  846  345  619  828  559  450  331  12   682  968  158  937  483  490  809  755  694  860  676  806  871  592 
2552  | 589  334  59   245  421  812  717  101  388  395  283  559  1005 510  888  885  115  842  816  225  946  251  1019 392  801  581  787  961  569  437  875  460 
2553  | 211  334  556  281  345  594  661  678  633  830  732  942  837  397  647  585  106  617  1001 811  909  594  799  707  591  845  397  768  672  792  869  498 
2554  | 589  62   116  639  443  408  813  592  554  833  870  775  930  706  401  523  752  880  315  910  358  926  198  996  782  868  955  574  667  956  290  323 
2555  | 664  542  960  873  332  431  324  644  342  438  236  189  632  634  944  530  847  229  200  353  284  834  134  590  559  542  562  484  309  221  926  892 
2556  | 521  921  292  330  771  265  399  364  989  793  860  449  993  939  690  916  1020 172  862  413  496  684  785  876  903  796  404  768  599  708  847  575 
2557  | 664  9    951  755  607  620  375  632  417  212  668  189  950  642  201  311  444  706  626  762  441  739  505  541  954  699  904  975  919  756  956  537 
2558  | 684  590  90   502  856  856  727  145  824  658  98   594  393  794  538  807  820  897  694  229  293  709  830  257  450  537  258  216  784  461  752  478 
2559  | 308  694  959  281  143  565  142  708  661  593  63   631  969  677  992  927  753  183  107  504  395  567  155  944  956  315  877  529  759  323  559  266 
2560  | 762  210  760  386  824  290  41   854  695  266  917  399  605  557  509  497  954  175  528  967  231  848  903  851  979  770  696  477  464  757  726  845 
2561  | 678  1014 957  871  571  89   374  145  962  442  392  624  825  896  282  633  577  556  563  455  992  938  270  217  258  682  572  706  596  238  635  760 
2562  | 809  995  288  644  11   406  463  1023 417  536  487  591  402  576  384  955  110  536  440  687  990  938  230  377  789  468  806  775  864  182  648  942 
2563  | 181  263  647  149  793  753  699  101  839  956  628  931  493  871  417  881  109  380  979  752  613  979  490  984  814  900  232  688  443  540  666  716 
2564  | 818  995  410  247  564  403  814  117  683  149  621  701  690  572  231  269  72   455  551  992  422  155  239  583  956  565  661  921  1015 762  624  622 
2565  | 874  12   9    701  722  271  225  999  508  190  258  481  1017 651  126  792  933  536  990  330  43   885  994  954  441  501  907  625  994  764  869  1021
2566  | 355  781  743  504  902  137  24   788  640  748  554  460  1015 925  903  966  639  284  598  972  568  404  926  573  193  578  746  1012 975  306  507  277 
2567  | 13   417  448  224  49   902  976  480  482  573  327  387  487  933  942  934  928  559  960  220  678  868  510  679  708  796  684  401  946  731  890  914 
2568  | 330  463  503  282  504  72   53   409  228  943  341  947  547  641  872  254  444  82   123  446  485  620  284  759  1001 795  959  915  698  385  792  752 
2569  | 364  629  872  72   755  309  616  424  620  297  421  377  547  686  371  880  336  326  43   472  688  775  777  462  512  829  314  845  552  1003 545  837 
2570  | 50   944  543  274  150  284  950  117  497  999  453  334  665  758  465  630  231  359  403  209  316  312  250  524  946  408  874  932  612  561  714  961 
2571  | 332  970  547  284  474  536  333  827  555  676  605  184  757  884  432  733  486  263  442  302  562  822  873  950  945  830  290  528  899  879  296  634 
2572  | 589  970  222  1007 409  87   709  965  822  1002 454  372  562  426  853  640  535  724  984  693  576  595  360  716  390  212  324  463  623  725  731  908 
2573  | 282  589  215  52   32   652  794  342  571  394  847  983  287  581  542  921  868  963  693  506  427  923  653  972  486  728  486  679  698  642  326  607 
2574  | 589  589  154  875  992  160  808  626  257  271  903  447  536  341  992  67   378  67   386  355  737  860  599  1015 924  320  249  260  643  469  978  819 
2575  | 332  3    423  616  629  5    91   692  840  101  902  916  471  1015 583  1016 662  797  607  797  965  922  329  719  656  987  746  738  849  1023 675  896 
2576  | 4    1014 587  653  638  340  13   369  866  941  528  228  330  1011 320  677  810  122  143  698  763  819  697  503  931  921  611  554  196  550  730  858 
2577  | 919  453  523  348  734  869  638  93   849  39   733  784  240  385  811  271  451  122  893  960  937  480  667  746  255  1012 956  249  278  918  321  496 
2578  | 2    1003 596  525  638  568  858  708  378  654  47   857  364  949  568  1008 236  289  984  653  614  693  617  375  220  733  599  796  597  925  917  587 
2579  | 919  1014 708  234  878  988  236  820  623  663  292  1023 539  863  213  810  466  265  485  430  447  880  584  358  606  884  988  323  1018 413  977  621 
2580  | 150  849  894  937  127  1022 373  478  452  777  500  462  848  457  358  416  527  468  964  765  231  971  650  561  455  793  473  571  508  436  311  937 
2581  | 32   134  283  270  62   362  897  470  610  930  679  865  871  247  678  917  656  726  263  534  605  937  390  530  949  725  903  706  599  924  712  583 
2582  | 2    387  167  159  131  105  1021 435  583  413  614  445  127  564  760  610  774  76   444  851  741  528  871  648  937  990  614  754  524  708  933  745 
2583  | 217  21   288  797  213  724  787  729  361  930  925  644  907  756  745  965  987  676  715  353  654  281  373  540  923  581  725  625  246  745  596  678 
2584  | 195  152  38   796  636  908  374  264  436  47   615  225  257  740  841  968  525  100  617  575  893  694  675  287  876  300  935  235  299  967  420  829 
2585  | 873  152  812  871  1000 198  843  485  389  593  558  711  841  609  551  657  584  816  62   773  1011 286  613  809  604  482  821  240  789  656  881  989 
2586  | 667  34   558  714  283  944  392  141  517  394  146  643  640  492  786  941  15   0    658  785  634  937  387  999  1001 686  439  401  669  1016 834  628 
2587  | 107  1015 284  752  494  904  382  804  988  640  601  440  601  683  0    953  704  497  1000 666  834  955  265  285  205  613  665  1000 853  1011 654  992 
2588  | 625  901  998  855  261  1021 372  676  401  998  939  723  919  244  1002 471  687  444  297  900  82   846  155  847  236  828  711  479  644  541  777  601 
2589  | 498  572  153  960  261  623  1001 800  191  1001 425  397  423  708  423  646  393  277  851  629  614  211  898  916  901  922  439  648  926  512  947  610 
2590  | 664  479  925  874  109  491  615  941  597  399  813  515  516  496  439  827  649  339  978  1016 708  914  588  716  470  964  650  586  278  469  732  259 
2591  | 664  919  220  848  504  310  937  130  624  510  737  370  365  746  750  521  972  926  802  404  542  969  664  695  247  649  1018 481  979  892  851  630 
2592  | 685  428  229  855  856  176  862  175  869  731  930  759  175  403  619  730  359  181  502  282  874  589  638  714  1019 859  568  669  667  707  484  865 
2593  | 54   1023 145  597  958  729  605  42   356  418  876  693  868  406  408  749  434  910  153  633  296  290  568  921  530  564  988  490  455  707  874  921 
2594  | 7    34   478  405  952  1022 325  536  522  962  712  220  925  1020 254  840  35   479  402  852  588  492  373  556  505  610  996  1023 792  857  252  816 
2595  | 733  506  355  802  500  796  875  554  309  880  479  872  640  626  669  629  464  521  534  570  923  644  1015 734  951  906  922  824  721  758  489  922 
2596  | 334  319  697  802  973  593  842  562  783  787  848  773  929  934  444  510  9    380  364  866  631  511  518  867  911  441  825  479  970  596  721  755 
2597  | 589  886  547  225  277  59   734  961  380  93   871  654  746  608  297  525  196  85   399  361  915  594  704  382  476  912  879  721  603  303  791  820 
2598  | 384  56   723  706  480  643  244  190  10   769  746  405  384  1002 354  871  768  245  890  597  870  803  530  852  614  596  904  301  670  951  643  633 
2599  | 664  979  286  898  503  665  738  868  552  380  898  414  285  482  879  859  1003 853  650  882  782  594  587  920  985  613  732  193  984  275  923  1013
2600  | 558  617  219  475  614  697  358  342  787  307  587  995  842  261  869  766  833  354  225  523  434  438  908  617  627  660  906  630  561  671  560  531 
2601  | 589  903  347  626  602  45   244  648  705  364  212  486  597  514  438  1009 184  801  619  403  777  871  696  458  727  256  708  954  836  280  908  678 
2602  | 42   78   120  802  871  796  274  714  328  686  300  484  643  709  232  345  394  237  777  320  719  521  887  449  651  924  132  457  954  810  596  768 
2603  | 442  324  661  24   272  571  945  255  963  307  762  704  289  523  285  582  967  428  144  940  920  640  641  904  703  321  321  574  944  611  788  314 
2604  | 217  473  72   359  529  39   257  215  309  998  771  810  659  511  571  470  15   807  832  526  957  787  587  882  840  736  566  934  550  1018 731  858 
2605  | 493  348  558  167  99   470  526  635  326  671  952  851  940  548  754  1020 967  497  711  576  650  557  644  551  882  571  998  835  635  401  847  570 
2606  | 911  355  271  272  946  463  446  407  930  835  145  296  295  604  465  317  905  252  882  642  826  200  534  294  408  615  637  918  916  572  879  846 
2607  | 471  407  232  864  68   475  543  333  660  915  566  304  822  856  699  505  224  17   228  173  907  844  840  1020 654  649  915  903  656  998  868  644 
